conditions,response,is_lightweight
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Everything's A Carrot Machine" and inventory_entity != null,Are we turning the {inventory_entity} into a carrot?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Freezer" and inventory_entity != null,Do you want me to put the {inventory_entity} in the freezer?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Freezer" and inventory_entity != null,Do you want me to place the {inventory_entity} in the freezer?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Freezer" and inventory_entity != null,Should I place the {inventory_entity} into the freezer?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Freezer" and inventory_entity != null,Do you want me to place the {inventory_entity} into the freezer?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Fridge" and inventory_entity != null,Should I place the {inventory_entity} into the fridge?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Fuse Box",Do you want me to use the fuse box?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Fuse Box",Should I use the fuse box?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Gravity Pad" and inventory_entity != null,Do you want me to activate the gravity flipper?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Gravity Pad" and inventory_entity != null,I think I know what to do - do you want me to use the gravity flipper on the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Microwave" and inventory_entity != null,Shall I use the microwave to heat up the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Printer" and inventory_entity == "Printer Cartridge",Do you want me to 3D print the cartridge?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Robot Arm",Got to the robot arm - should I flip the switch?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Robot Arm",Do you want me to activate the robot arm?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Robot Arm",Got to the robot arm - should I toggle it?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Robot Arm",Got to the robot arm - should I activate it?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Sink" and inventory_entity == "Plate",I see what we are trying to do here. Do you want me to clean the plate?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Sink" and inventory_entity == "Plate",Do you want me to clean the plate?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Sink" and inventory_entity =~ "(Bowl|Mug|Coffee Pot)",Do you want me to fill up the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Sink" and inventory_entity =~ "(Bowl|Mug|Coffee Pot)",Do you want me to fill the {inventory_entity} with water?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "GotoObject" and interaction_action_entity == "Sink" and inventory_entity =~ "(Bowl|Mug|Coffee Pot)",Do you want me to fill the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Embiggenator" and inventory_entity != null,Do you want me to activate the embiggenator?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Embiggenator" and inventory_entity != null,Do you want me to toggle the embiggenator?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Embiggenator" and inventory_entity != null,Shall we use the embiggenator on the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Freeze Ray Shelf" and inventory_entity != null,I think I know what to do - do you want me to freeze the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Freeze Ray Shelf" and inventory_entity != null,I see what we are trying to do here. Shall we freeze the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Freeze Ray Shelf" and inventory_entity != null,Shall we freeze the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Gravity Pad" and inventory_entity != null,Do you want me to activate the gravity flipper?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Gravity Pad" and inventory_entity != null,Shall we use the gravity flipper on the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Laser Shelf" and inventory_entity != null,Shall we heat up the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Laser Shelf" and inventory_entity != null,Shall we heat the {inventory_entity}?,False
verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Laser Shelf" and inventory_entity != null,Do you want me to heat the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type == "Place" and interaction_action_entity == "Microwave" and inventory_entity != null,Shall I use the microwave to heat up the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type =~ "(GotoObject|Place)" and interaction_action_entity == "Time Machine" and inventory_entity != null,Do you want me to use the time machine on the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type =~ "(GotoObject|Place)" and interaction_action_entity == "Time Machine" and inventory_entity == "Carrot",Do you want me to turn the carrot to its original object?,False

verbal_interaction_intent_type == "confirm_before_plan" and interaction_action_type =~ "(GotoObject|Place)" and interaction_action_entity == "Time Machine" and inventory_entity =~ "(Bowl|Trophy|Record|Floppy Disk)",Do you want me to repair the {inventory_entity}?,False

verbal_interaction_intent_type == "confirm_before_search" and verbal_interaction_intent_entity != null,I don't see the {verbal_interaction_intent_entity}. Do you want me to search for it first?,False
verbal_interaction_intent_type == "confirm_before_search" and verbal_interaction_intent_entity != null,The {verbal_interaction_intent_entity} is not in my view. I should first look for it - right?,False
verbal_interaction_intent_type == "confirm_before_search" and verbal_interaction_intent_entity != null,I don't see the {verbal_interaction_intent_entity} in front of me. Should I start by finding it?,False
verbal_interaction_intent_type == "confirm_before_search" and verbal_interaction_intent_entity != null,My vision system is not detecting the {verbal_interaction_intent_entity}. Should I first search for it?,False

verbal_interaction_intent_type == "generic_success",Now what?,False
verbal_interaction_intent_type == "generic_success",So what should I do next?,False
verbal_interaction_intent_type == "generic_success",Alright - what's next?,False
verbal_interaction_intent_type == "generic_success",<say-as interpret-as="interjection">righto</say-as>,False

verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom",<amazon:emotion name="excited" intensity="medium">Made it!</amazon:emotion>,False
verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom",So what should I do here?,False

verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and current_room == interaction_action_entity and current_room != null,Staying in the {current_room} - now what?,False
verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and current_room == interaction_action_entity and current_room != null,Still in the {current_room} - what next?,False

verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and current_room == interaction_action_entity and interaction_action_entity != null,Staying in the {interaction_action_entity},True

verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and interaction_action_entity != null,In the {interaction_action_entity} - now what?,False
verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and interaction_action_entity != null,I'm in the {interaction_action_entity},False
verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and interaction_action_entity != null,I got to the {interaction_action_entity},False

verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and interaction_action_entity != null and interaction_action_entity in visited_room_counter and visited_room_counter[interaction_action_entity] > 1,Back in the {interaction_action_entity},False

verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and interaction_action_entity != null and interaction_action_entity not in visited_room_counter and current_room != null,<amazon:emotion name="excited" intensity="low">In the {interaction_action_entity}! What's next?</amazon:emotion>,False
verbal_interaction_intent_type == null and interaction_action_type == "GotoRoom" and interaction_action_entity != null and interaction_action_entity not in visited_room_counter,<amazon:emotion name="excited" intensity="low">So what are we doing in the {interaction_action_entity}?</amazon:emotion>,False

verbal_interaction_intent_type =~ "(ask_about_affordance|ask_about_location)" and verbal_interaction_intent_entity =~ "(dino|dinosaur)", If we set the portal to the past - we can feed the dinosaur that appears! We should only go to the generator if we have something to feed the dinosaur with. If we disappoint the dinosaur - it might eat us!, False

verbal_interaction_intent_type =~ "(ask_about_appearance|ask_about_affordance|ask_about_location)" and verbal_interaction_intent_entity == null, I don't understand which object you're referring to. Can you ask me a different question?,False
verbal_interaction_intent_type == "ask_about_location" and verbal_interaction_intent_entity != null and not verbal_interaction_intent_entity =~ "(dino|dinosaur)", I'm sorry - but I didn't encountered any {verbal_interaction_intent_entity}s during our mission - and I don't have any special clues as to where it might be., False
